全部,#genre#
CCTV11,http://183.62.8.58:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.198.84.146:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.198.95.220:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://120.198.95.220:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://120.238.85.131:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://183.10.180.109:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.112:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.113:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.120:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.121:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.127:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.133:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.172:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.10.180.93:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://183.62.8.58:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://120.198.84.146:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://120.198.95.220:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://120.198.95.220:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13,http://120.238.85.131:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://124.228.160.210:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.237.95.108:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.62.8.58:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
